Date,Gold_Price,Predicted_Price
2023-01-01,1900.5,1899.72
2023-01-02,1900.36,1899.59
2023-01-03,1901.01,1899.46
2023-01-04,1902.53,1899.33
2023-01-05,1902.3,1899.2
2023-01-06,1902.06,1899.07
2023-01-07,1903.64,1898.95
2023-01-08,1904.41,1898.82
2023-01-09,1903.94,1898.69
2023-01-10,1904.48,1898.56
2023-01-11,1904.02,1898.43
2023-01-12,1903.55,1898.31
2023-01-13,1903.79,1898.18
2023-01-14,1901.88,1898.05
2023-01-15,1900.16,1897.92
2023-01-16,1899.59,1897.79
2023-01-17,1898.58,1897.67
2023-01-18,1898.89,1897.54
2023-01-19,1897.99,1897.41
2023-01-20,1896.57,1897.28
2023-01-21,1898.04,1897.15
2023-01-22,1897.81,1897.03
2023-01-23,1897.88,1896.9
2023-01-24,1896.46,1896.77
2023-01-25,1895.91,1896.64
2023-01-26,1896.02,1896.51
2023-01-27,1894.87,1896.38
2023-01-28,1895.25,1896.26
2023-01-29,1894.65,1896.13
2023-01-30,1894.36,1896.0
2023-01-31,1893.75,1895.87
2023-02-01,1895.61,1895.74
2023-02-02,1895.59,1895.62
2023-02-03,1894.53,1895.49
2023-02-04,1895.36,1895.36
2023-02-05,1894.14,1895.23
2023-02-06,1894.35,1895.1
2023-02-07,1892.39,1894.98
2023-02-08,1891.06,1894.85
2023-02-09,1891.25,1894.72
2023-02-10,1891.99,1894.59
2023-02-11,1892.16,1894.46
2023-02-12,1892.05,1894.34
2023-02-13,1891.75,1894.21
2023-02-14,1890.27,1894.08
2023-02-15,1889.55,1893.95
2023-02-16,1889.09,1893.82
2023-02-17,1890.15,1893.7
2023-02-18,1890.49,1893.57
2023-02-19,1888.73,1893.44
2023-02-20,1889.05,1893.31
2023-02-21,1888.67,1893.18
2023-02-22,1887.99,1893.05
2023-02-23,1888.6,1892.93
2023-02-24,1889.63,1892.8
2023-02-25,1890.56,1892.67
2023-02-26,1889.72,1892.54
2023-02-27,1889.41,1892.41
2023-02-28,1889.75,1892.29
2023-03-01,1890.72,1892.16
2023-03-02,1890.24,1892.03
2023-03-03,1890.06,1891.9
2023-03-04,1888.95,1891.77
2023-03-05,1887.75,1891.65
2023-03-06,1888.57,1891.52
2023-03-07,1889.92,1891.39
2023-03-08,1889.85,1891.26
2023-03-09,1890.85,1891.13
2023-03-10,1891.22,1891.01
2023-03-11,1890.57,1890.88
2023-03-12,1890.93,1890.75
2023-03-13,1892.47,1890.62
2023-03-14,1892.43,1890.49
2023-03-15,1894.0,1890.36
2023-03-16,1891.38,1890.24
2023-03-17,1892.2,1890.11
2023-03-18,1892.29,1889.98
2023-03-19,1891.99,1889.85
2023-03-20,1892.08,1889.72
2023-03-21,1890.09,1889.6
2023-03-22,1889.87,1889.47
2023-03-23,1890.23,1889.34
2023-03-24,1891.71,1889.21
2023-03-25,1891.19,1889.08
2023-03-26,1890.38,1888.96
2023-03-27,1889.88,1888.83
2023-03-28,1890.8,1888.7
2023-03-29,1891.12,1888.57
2023-03-30,1890.59,1888.44
2023-03-31,1891.11,1888.32
2023-04-01,1891.2,1888.19
2023-04-02,1892.17,1888.06
2023-04-03,1891.47,1887.93
2023-04-04,1891.14,1887.8
2023-04-05,1890.75,1887.68
2023-04-06,1889.29,1887.55
2023-04-07,1889.58,1887.42
2023-04-08,1889.84,1887.29
2023-04-09,1889.85,1887.16
2023-04-10,1889.62,1887.03
